"giver","receiver","yearmonth","direct.cont","indirect.cont","hr.diff.m"
"D1120","D1123","Apr 2022",0,5,1170.27861864584
"D1120","D1124","Apr 2022",0,279,694.946042904708
"D1120","D1125","Apr 2022",0,14,1028.42478696565
"D1120","D1126","Apr 2022",0,312,713.591233644338
"D1123","D1091","Apr 2022",0,0,2886.79359769372
"D1123","D1092","Apr 2022",5,1079,101.475528797307
"D1123","D1093","Apr 2022",0,0,2228.00220842288
"D1123","D1094","Apr 2022",0,0,2118.06208647868
"D1123","D1095","Apr 2022",0,0,2083.69657781183
"D1123","D1096","Apr 2022",0,1423,505.931952800168
"D1123","D1118","Apr 2022",0,0,2501.09977772246
"D1123","D1119","Apr 2022",0,0,1854.47725142316
"D1123","D1120","Apr 2022",0,1,1170.27861864584
"D1123","D1124","Apr 2022",0,0,1791.68901858178
"D1123","D1125","Apr 2022",0,0,1894.91173353774
"D1123","D1126","Apr 2022",3,751,498.761266152538
"D1124","D1091","Apr 2022",0,4,1096.17504431568
"D1124","D1092","Apr 2022",0,0,1691.60570674467
"D1124","D1093","Apr 2022",1,575,520.138533897124
"D1124","D1094","Apr 2022",0,72,630.357444015087
"D1124","D1095","Apr 2022",0,1493,504.757384108121
"D1124","D1096","Apr 2022",0,0,1361.4017318258
"D1124","D1118","Apr 2022",0,46,723.186741480262
"D1124","D1119","Apr 2022",12,4352,68.3166148603275
"D1124","D1120","Apr 2022",0,216,694.946042904708
"D1124","D1123","Apr 2022",0,0,1791.68901858178
"D1124","D1125","Apr 2022",0,51,524.175536994707
"D1124","D1126","Apr 2022",0,2,1296.51721551679
"D1125","D1091","Apr 2022",0,3,1214.94321818327
"D1125","D1092","Apr 2022",0,0,1803.66126235011
"D1125","D1093","Apr 2022",0,1,922.240601868051
